Longitude	Latitude	Elevation (m)
-99.905	8.792	-3532.0
-100.196	8.792	-3693.0
-100.600	8.766	-3409.0
-100.882	8.766	-3245.0
-101.137	8.766	-3382.0
-101.472	8.731	-3586.0
-101.789	8.687	-3563.0
-102.167	8.687	-3171.0
-102.598	8.635	-3452.0
-102.968	8.566	-3308.0
-103.294	8.531	-3568.0
-103.523	8.479	-3225.0
-103.840	8.418	-3216.0
-104.192	8.348	-2867.0
-104.491	8.313	-3040.0
-104.737	8.296	-3145.0
-105.125	8.304	-3103.0
-105.547	8.304	-3259.0
-105.943	8.287	-3121.0
-106.128	8.278	-3272.0
-106.418	8.287	-3300.0
-106.859	8.270	-3664.0
