Longitude	Latitude	Elevation (m)
-97.750	12.385	-
-97.929	12.377	-
-98.056	12.286	-
-98.268	12.153	-
-98.625	11.937	-
-99.101	11.721	-
-99.619	11.504	-
-100.171	11.271	-
-100.511	11.088	-
-100.910	10.921	-
-101.335	10.771	-
-101.726	10.662	-
-102.074	10.587	-
-102.660	10.462	-
-103.111	10.370	-
-103.476	10.320	-
-103.714	10.278	-
-104.028	10.236	-3224.0
-104.359	10.178	-2586.0
-104.555	10.161	-2956.0
-104.767	10.153	-3138.0
-105.285	10.136	-3268.0
-105.625	10.136	-3509.0
-105.897	10.136	-3657.0
-106.398	10.169	-4158.0
-106.738	10.195	-3638.125
-107.180	10.270	-3683.0
-107.460	10.437	-3407.0
-107.613	10.554	-3620.25
-107.749	10.637	-3711.1875
-108.004	10.687	-3784.1875
-108.114	10.687	-3868.75
-108.199	10.629	-4030.0
-108.293	10.612	-3839.5625
-108.463	10.671	-3653.0
-108.709	10.779	-3471.5
-108.760	10.888	-3425.9375
-108.853	10.888	-3434.8125
-108.921	10.863	-3599.0
-109.006	10.771	-4056.4375
-109.193	10.838	-3731.6875
-109.321	10.838	-3729.2188
-109.601	10.838	-3680.4883
-110.034	10.921	-3812.5625
-110.281	10.838	-3616.8906
-110.688	10.771	-3871.25
-111.402	10.729	-3943.1523
-111.946	10.729	-3967.6875
-112.685	10.487	-3769.0742
-113.246	10.270	-3608.3125
-113.857	10.086	-4358.0547
-114.715	9.877	-4059.125
-116.363	9.341	-3545.0
