Longitude	Latitude	Elevation (m)
-107.661	-25.132	-3626.0
-108.330	-25.361	-3556.0
-109.191	-25.599	-3443.0
-109.849	-25.297	-3497.0
-110.274	-24.967	-3548.0
-110.406	-24.655	-3539.0
-110.801	-23.879	-3643.0
-111.034	-23.183	-3621.0
-111.358	-22.464	-3682.0
-111.642	-22.192	-3472.0
-112.219	-21.948	-3612.0
-112.806	-21.939	-
-113.475	-21.939	-
-114.153	-21.939	-
-114.568	-22.023	-
-114.994	-22.258	-
-115.409	-22.408	-3366.0
-115.753	-22.614	-3297.0
-116.169	-22.885	-3256.0
-116.543	-23.118	-3204.0
-116.918	-23.239	-3312.0
-117.343	-23.332	-3513.0
-117.890	-23.666	-3415.0
-118.407	-23.759	-3485.0
-118.984	-23.796	-3470.0
-119.490	-23.824	-3570.0
-120.098	-23.675	-3502.0
-120.453	-23.796	-3590.0
-120.989	-23.796	-3084.0
-121.556	-23.777	-3470.0
-121.972	-23.777	-3502.0
-122.478	-23.777	-3318.0
-122.822	-23.861	-3719.0
-122.964	-24.018	-3644.0
-123.379	-24.018	-
-124.250	-23.972	-
-124.402	-23.777	-3189.0
-124.534	-23.703	-3263.0
-124.969	-23.694	-3166.0
-125.506	-23.610	-3252.0
-126.043	-23.583	-3335.0
-126.620	-23.425	-3287.0
-127.977	-23.183	-4175.0
