Longitude	Latitude	Elevation (m)
-103.833	-14.889	-
-104.365	-14.792	-
-105.305	-14.591	-4337.9375
-105.804	-14.470	-3870.25
-106.577	-14.285	-3671.1875
-107.442	-14.116	-3575.25
-108.091	-13.946	-3600.3633
-108.847	-13.825	-3536.125
-109.388	-13.712	-3424.0
-109.978	-13.607	-3268.9648
-110.361	-13.542	-3184.0
-110.768	-13.429	-3182.0
-111.093	-13.356	-3018.0
-111.442	-13.267	-2982.0
-111.908	-13.138	-
-112.357	-13.016	-
-112.947	-12.895	-
-113.629	-12.749	-
-113.953	-12.668	-
-114.552	-12.538	-
-115.076	-12.416	-
-115.533	-12.286	-
-115.824	-12.213	-
-116.523	-12.042	-
-117.271	-11.855	-
-117.646	-11.774	-
-118.145	-11.652	-
-118.494	-11.554	-
