Longitude	Latitude	Elevation (m)
-93.930	0.262	-3136.0
-94.220	0.388	-3340.0
-94.507	0.532	-3386.0
-94.750	0.576	-3298.0
-95.152	0.681	-3307.0
-95.515	0.602	-3351.0
-95.723	0.620	-3280.0
-96.051	0.652	-3332.0
-96.095	0.699	-3327.0
-96.432	0.699	-3360.0
-96.778	0.652	-3349.0
-97.015	0.576	-3373.0
-97.305	0.473	-3316.7495
-97.610	0.447	-3393.0
-97.794	0.541	-3274.0
-98.184	0.696	-3370.414
-98.661	0.743	-3403.0
-99.069	0.784	-3307.0
-99.493	0.825	-3336.6755
-99.854	0.939	-3271.3613
-100.156	0.971	-3263.6094
-100.425	0.960	-3304.0
-100.759	0.904	-3274.0
-100.926	0.922	-3237.0415
-101.099	0.977	-3329.0
-101.295	1.030	-3377.0
-101.489	1.097	-3334.0
-101.647	1.141	-3367.0
-101.808	1.165	-3265.0
-102.057	1.141	-3168.0
-102.236	1.141	-3139.0
-102.496	1.144	-3300.0
-108.497	1.086	-3587.0
